Title,Link,abstract
Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,本研究は、骨格筋におけるγ-サルコグリカン（γ-SG）の欠失が、機械的刺激に対するp70S6キナーゼ（p70S6K）の応答にどのような影響を与えるかを明らかにすることを目的としています。マウスの筋細胞培養や孤立筋を用いた実験では、正常マウスでは受動的な伸展刺激によりp70S6Kの活性化が一過性に増加する一方で、γ-SG欠損マウスでは基底状態でp70S6K活性が高く、伸展後も持続的に活性化されることが示されました。さらに、ラパマイシン処理により正常筋ではp70S6K活性化が抑制されるものの、γ-SG欠損筋では下流のS6リボソームタンパク質のリン酸化が依然として高いままであることから、γ-SGの欠失はp70S6K経路の負の制御を障害し、筋肉の機械的負荷感知機構を変化させることが示唆されます。これらの結果は、筋ジストロフィーなどサルコグリカン複合体の欠損に伴う筋肉の適応異常の分子基盤理解に重要な知見を提供しています。
AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,本研究は、植物の花粉発達と花粉管伸長におけるRab GTPaseファミリーのAtRabD2bとAtRabD2cの役割を明らかにすることを目的としています。これらのタンパク質はゴルジ体に局在し、細胞内の小胞輸送を制御することで、花粉の正常な形成と花粉管の先端成長を支えていることが示されました。単独の遺伝子変異体では形態的な異常は見られなかったものの、両方の遺伝子が欠損した二重変異体では花粉の変形や花粉管先端の異常が顕著で、結果として果実の長さが短くなるなど生殖機能に影響が及んでいます。これらの成果は、AtRabD2bとAtRabD2cが部分的に機能を補完し合いながら、花粉管成長に必要な小胞輸送を担っていることを示しており、植物の生殖過程における細胞内輸送機構の理解を深める重要な知見となっています。なお、本研究は宇宙環境下での影響については言及していません。
TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,本研究は、モデル植物シロイヌナズナにおいて、細胞内の膜輸送を担うトランスゴルジ網（TGN）に局在する新規タンパク質TNO1の機能を明らかにすることを目的としています。TNO1は、TGNでの小胞融合に関与するSNAREタンパク質SYP41と相互作用し、塩ストレス応答に重要なSYP61の局在を維持することで、塩分や浸透圧ストレスに対する耐性に寄与していることが示されました。tno1変異体では、塩類や浸透圧ストレスに対する感受性が増大し、液胞へのタンパク質輸送が障害される一方で、膜融合過程も遅延することが観察され、TNO1がTGNの構造維持や小胞輸送の効率化に重要な役割を果たすことが示唆されました。これらの知見は、宇宙環境下での植物のストレス耐性向上や細胞内輸送機構の理解に貢献する可能性があります。
Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,本研究は、植物細胞内の膜輸送に重要な役割を果たすSNAREタンパク質の一種であるSYNTAXIN OF PLANTS 43と相互作用する、未解析のシロイヌナズナタンパク質AtGTLPの細胞内局在と機能を調べることを目的としています。AtGTLPはアミノ酸配列の類似性から新規のフコシルトランスフェラーゼ様タンパク質と予測され、主にゴルジ体の特にトランスゴルジネットワークに局在することが共局在実験で示されました。単独のAtGTLP欠損株では明らかな形態的異常が観察されなかったことから、AtGTLPと類似タンパク質群は機能的に冗長性を持ち、互いに補完し合っている可能性が示唆されます。これらの知見は、植物のゴルジ体における糖鎖付加酵素ファミリーの多様性と機能分担の理解に貢献するとともに、宇宙環境下での細胞内輸送機構の安定性評価にも応用が期待されますが、詳細な機能解析は今後の課題です。
Root growth movements: Waving and skewing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,本研究は、モデル植物シロイヌナズナのTNO1という、細胞内のトランスゴルジ網に局在するタンパク質が根の成長方向の変化（スキューイング）に与える影響を調べることを目的としています。実験では、TNO1遺伝子を欠損した変異体が野生型に比べて根の右方向への偏りが顕著に増加し、細胞の配列回転も強まることが観察されました。さらに、微小管の安定化処理によりこの偏りがさらに増大する一方で、微小管の不安定化には影響を受けず、微小管の配列方向自体は変異体で変わらなかったことから、TNO1は微小管に依存しつつもその配列方向とは独立した機構で根の成長方向を調節していると考えられます。これらの結果は、宇宙環境下での重力変化に伴う植物の根の成長応答や細胞形態維持において、TNO1を含むトランスゴルジ網の輸送機構が重要な役割を果たす可能性を示唆しています。
Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,本研究は、植物の根の成長や重力応答に関わるホルモンであるオーキシンの輸送に、細胞内の膜輸送を担うトランスゴルジネットワーク（TGN）に局在するタンパク質TNO1が重要な役割を果たすことを明らかにすることを目的としています。主に、TNO1遺伝子が欠損した変異体（tno1）を用いて、側根の発生遅延や重力刺激に対する屈曲反応の低下、オーキシン類似物質への感受性の増加などの表現型を観察し、オーキシンの細胞内輸送異常がこれらの現象に関与することを示しました。特に、tno1変異体では側根先端でのオーキシンの非対称分布が減少し、重力刺激時のオーキシン輸送も遅延していたことから、TNO1はオーキシン輸送体の細胞内輸送を介して根の発達と重力応答を調節していると考えられます。これらの成果は、宇宙環境のような重力条件が変化する環境下での植物成長メカニズムの理解に寄与すると期待されます。
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,本研究は、シロイヌナズナ（Arabidopsis thaliana）において、ゴルジ体の一部であるトランスゴルジネットワーク（TGN）に局在するSNARE相互作用タンパク質TNO1が根の傾き（root skewing）に及ぼす影響を調べることを目的としています。主に、TNO1遺伝子を欠損した変異体（tno1ノックアウト）を用いて、根の成長方向の変化や表皮細胞の配列回転（cell file rotation）を観察し、微小管（microtubule）の安定化・不安定化処理による影響を解析しました。その結果、tno1変異体は野生型に比べて根の右方向への傾きが増大し、微小管の安定化によりその傾きがさらに強まる一方で、微小管の不安定化には影響を受けにくいことが明らかとなりました。これらの結果から、TNO1は微小管の配列方向の変化とは独立して、微小管依存的な機構を通じて根の傾きや細胞形態の維持を調節しており、TGNに局在するSNARE関連の輸送機構が根の成長過程における細胞配列の適切な回転や細胞拡大に重要な役割を果たしていることが示唆されました。なお、本研究は主に植物の細胞内輸送と細胞形態形成に焦点を当てており、宇宙環境下での影響については直接的な検討は行われていません。
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,本研究は、精子形成過程において中心体（基底小体）と精子細胞核の結合を維持する分子機構を明らかにすることを目的としています。ショウジョウバエのSUNタンパク質であるSpag4が、精巣で特異的に発現し、精子細胞核と中心体の付着部位に局在していることを示しました。Spag4欠損では減数分裂後に核と中心体が分離し、この結合維持にはKASHタンパク質ではなく、コイルドコイル構造を持つYuri Gagarinタンパク質が必要であることがわかりました。これらの結果は、Spag4とYuriが協調して中心体と核の連結を制御し、正常な精子形成に不可欠であることを示しており、細胞内の核と中心体の位置関係維持に関する基礎的理解を深める意義があります。なお、本研究は主に細胞生物学的観点からの解析であり、宇宙環境下での影響については言及されていません。
Toll mediated infection response is altered by gravity and spaceflight in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,本研究は、宇宙空間における長期微小重力環境が生物の免疫機能に与える影響を理解し、宇宙飛行時の感染リスク軽減策の開発に貢献することを目的としています。モデル生物としてショウジョウバエを用い、重力変化が免疫応答に及ぼす影響を、特に保存性の高いTollおよびImdシグナル伝達経路を介した感染応答に着目して調査しました。実験では、地上での高重力条件がToll経路を介した真菌感染抵抗性を向上させる一方で、微小重力下で育成されたハエは帰還後に熱ショックストレス応答が活性化し、真菌感染に対するToll経路の活性化が著しく低下することが明らかとなりました。これに対し、細菌感染に対するImd経路の応答は正常であり、宇宙環境特有のストレスがToll経路の機能不全を引き起こす可能性が示唆されました。
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,本研究は、宇宙環境がマウスの肝臓に及ぼす影響を多角的に解析することを目的とし、複数の宇宙ミッションで得られたデータを用いてマルチオミクス解析を行いました。特に、宇宙空間での微小重力や放射線などのストレスが脂質代謝にどのような変調をもたらすかに着目し、遺伝子発現やタンパク質、代謝物の変化を総合的に調査しました。その結果、宇宙滞在によりマウス肝臓の脂質代謝に一貫した異常が生じることが明らかとなり、これは宇宙環境が生体のエネルギー代謝に深刻な影響を及ぼす可能性を示唆しています。ただし、提供された情報は修正記事の概要にとどまるため、詳細な実験手法や具体的な分子機構については原論文を参照する必要があります。
GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,本研究は、宇宙放射線が宇宙飛行士の心血管系に及ぼす長期的な影響を明らかにすることを目的とし、NASAのGeneLabデータベースを用いて関連遺伝子の解析を行いました。マウス心筋細胞への地上での高エネルギー陽子や鉄イオン照射と、国際宇宙ステーション（ISS）上で培養されたヒト血管内皮細胞の遺伝子発現データを比較し、宇宙放射線による酸化ストレスが一過性にFYN遺伝子を活性化し、これが活性酸素種（ROS）を抑制して心血管系を保護するフィードバック機構を示唆しました。特に、ISSでの放射線は主に陽子によるものであることが遺伝子発現パターンから支持され、FYNが心血管系の放射線応答の中心的役割を果たすことが初めて示されました。この成果は、地上実験と宇宙飛行実験のオミクス解析を統合して宇宙環境下でのヒトリスク評価に貢献する重要な知見となります。
FAIRness and usability for open-access omics data systems.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,"本研究は、宇宙生物学分野を含むオミクスデータの共有促進に向けて、NASAのGeneLab Data Systems（GLDS）をはじめとする複数の公開オミクスデータシステムのFAIR原則（Findable, Accessible, Interoperable, Reusable）への適合度を14の指標で評価したものです。評価の結果、データの検索性やアクセス性は比較的高い一方で、異なるシステム間でのデータ相互運用性が著しく不足しており、特にメタデータの再利用性が十分にサポートされていないことが明らかとなりました。これは、宇宙環境下の低重力条件など特定の実験条件を表す用語が複数の異なる生物医学用語集で異なる表現を持つため、メタデータの統一的な意味付けが困難であることに起因しています。こうした課題を踏まえ、研究者らはオミクスデータの意味的統合や連合検索機能の実装経験を共有し、ビッグデータシステム開発者に向けてデータアクセス性最大化のための新たな原則を提案しています。なお、メタデータの質はデータ提供者の協力に大きく依存しており、現状ではその動機付けが十分でない点も課題として指摘されています。"
NASA GeneLab platform utilized for biological response to space radiation in animal models,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,本研究は、地球の磁場による防護が及ばない宇宙空間での長期有人ミッションにおいて、銀河宇宙線（GCR）による電離放射線が宇宙飛行士の健康に与えるリスクを理解することを目的としています。NASAのGeneLabプラットフォームに蓄積された動物モデルを用いたオミクスデータを解析し、地上実験および低軌道宇宙飛行での放射線被曝に伴う生物学的応答を調査しました。解析の結果、放射線の種類や線量に応じてミトコンドリア機能の変化、リボソームの組み立て異常、免疫応答経路の変動など特定の生物学的シグネチャーが明らかとなり、これらは宇宙放射線曝露に起因する健康リスクの理解に資する知見です。これにより、GeneLabの豊富なデータベースを活用して、宇宙環境下での放射線影響に関する新たな仮説構築が可能となることが示されました。
Circulating miRNA spaceflight signature reveals targets for countermeasure development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,本研究は、宇宙飛行に伴う生体影響を調べるため、マウスやラット、さらにNASAの双子宇宙飛行士を対象に、宇宙環境下で変動する循環性マイクロRNA（miRNA）の特徴的なパターンを特定・検証しました。特に、微小重力や低軌道宇宙飛行（LEO）、および深宇宙放射線の模擬条件下でのmiRNA発現を比較し、これらの環境ストレスに応答するmiRNA群が共通して存在することを明らかにしました。さらに、miR-125、miR-16、let-7aなどのmiRNAが深宇宙放射線による血管損傷の制御に関与していることを示し、これらのmiRNAを標的としたアンタグミル（antagomir）による阻害がヒト3D血管モデルで損傷の回復に有効であることを実験的に証明しました。これらの成果は、将来の月や火星探査に向けた宇宙環境特有の生体影響の理解と、それに対する対策開発に重要な基盤を提供しています。
Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,本研究は、国際宇宙ステーション（ISS）の環境表面に存在する微生物群集の抗菌薬耐性（AMR）遺伝子を、従来の配列類似性に基づく手法を超えて深層学習モデルを用いて解析することを目的としています。ISSから採取された環境サンプルや純粋培養株のメタゲノムデータを対象に、PMA処理による生存微生物の抽出後にAMR遺伝子の検出を行い、特にKalamiella piersoniiやEnterobacter bugandensis、Bacillus cereusといった病原性を持つ細菌に多様な耐性遺伝子が存在することを明らかにしました。これらの計算予測は抗生物質ディスク拡散法による実験的検証でも高い一致を示し、ISS環境における微生物の耐性プロファイルの理解を深めるとともに、宇宙環境特有の微生物動態やヒトへの潜在的リスク評価に貢献しています。ただし、一部の耐性遺伝子の病原性評価には慎重な解釈が必要であり、今後の研究でさらなる検証が求められます。
Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,本論文は、宇宙空間の過酷な環境、特に銀河宇宙線による電離放射線と微小重力が女性宇宙飛行士の健康に及ぼす影響に着目し、女性生殖器系のがんリスク、特に婦人科がんに関する最新の研究を総括しています。地上では女性は肺がん、甲状腺がん、乳がん、卵巣がんなど放射線誘発性のがんの発症率が高く、これが宇宙飛行時のがんリスク増加の懸念につながっているため、女性の宇宙滞在時間は男性より制限されてきました。論文では、婦人科がんの発生に関わる遺伝子変異やエピジェネティックな調節機構に加え、宇宙環境下での微小重力や放射線がこれらのがんの発症や進展にどのように影響を与えるかを検討し、長期宇宙飛行後の女性宇宙飛行士のがんスクリーニングや管理の必要性を強調しています。現時点では研究が十分でなく、より安全な探査ミッションの実現に向けてさらなる基礎・臨床研究が求められていることが示唆されています。
Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,本研究は、宇宙空間での長期滞在がもたらす生理学的リスクの一つである筋萎縮に対し、肝臓と筋肉の代謝連関がどのように関与しているかを明らかにすることを目的としています。NASAのRR1ミッションで37日間宇宙滞在したマウスの肝臓と大腿四頭筋の遺伝子発現を比較解析した結果、脂質代謝が両組織で最も影響を受けており、肝臓の特定遺伝子群の発現パターンが筋肉のエネルギー節約応答やDNA修復、オートファジーなど高エネルギー需要プロセスの遺伝子発現と強く相関していることが示されました。これらの結果は、宇宙環境下での脂質代謝障害と筋萎縮が連動した現象であり、腸内細菌叢の変化による短鎖脂肪酸（特に酪酸やプロピオン酸）の代謝異常が関与している可能性を示唆しています。したがって、宇宙飛行による生理的変化に対しては、食事内容の工夫が有効な対策となりうることが示されました。
Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,本研究は、宇宙空間で人体が長期間さらされる銀河宇宙線（GCR）がDNAのエピジェネティックな変化、特にDNAメチル化パターンに与える影響を解明することを目的としています。高線量伝達効率（LET）の56Fe粒子や28Si粒子、低LETのX線を用いて細胞核内の染色体の位置やクロマチン構造がDNAメチル化に及ぼす影響を詳細に解析し、その結果をマウスの組織やJAXA宇宙飛行士の遺伝子発現データと照合しました。その結果、56Fe粒子は持続的なDNAメチル化の増加を誘導する一方で、28Si粒子やX線は一時的なメチル化の減少を引き起こし時間経過とともに元に戻ることが明らかになりました。また、染色体の空間的配置やヒストン修飾の分布といった核内のエピジェネティック構造が放射線応答に重要な役割を果たすことが示され、これらの知見は宇宙放射線による細胞損傷のメカニズム理解に新たな視点を提供します。なお、得られた結果はin vitro実験だけでなく、in vivoの動物モデルや宇宙飛行士のデータによっても支持されており、宇宙環境下での長期的な遺伝子発現変化の解明に貢献しています。
"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,本論文は、SARS-CoV-2感染によるCOVID-19の急性期後における組織や臓器の適応と損傷を中心に、その生物学的影響を総合的にレビューしています。ウイルスの病態生理を明らかにするために、ウイルス学的研究や動物モデル、臨床データを用いて、感染が全身の代謝経路や循環する生体分子（RNA、サイトカイン、ホルモンなど）に及ぼす影響を詳細に解析しました。これにより、COVID-19が多彩で複雑な全身性疾患であることが示され、細胞レベルから臓器系までの多様な生体応答とその統合的な生化学的メカニズムが浮き彫りになりました。宇宙環境特有の影響については直接の言及はありませんが、ウイルス感染による全身的な生理変化の理解は、宇宙飛行士の健康管理にも応用可能な知見を提供すると考えられます。なお、今後の研究課題や治療標的についても指摘されており、続編である第3部で治療法の最新動向が紹介される予定です。
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,本研究は、宇宙飛行がヒトの健康に及ぼす影響として、加齢に類似した分子レベルの変化が生じることに着目し、特に加齢に伴う虚弱症候群（フレイル）に関連するバイオマーカーの変動を調査することを目的としています。NASAのGeneLabに蓄積されたマウスデータやJAXAおよびInspiration4ミッションの宇宙飛行士データを用いて、宇宙環境下での遺伝子発現パターンの変化を解析した結果、フレイルに類似した状態の発現が示唆されました。これらの結果は、宇宙飛行が加齢に伴う生物学的変化を促進する可能性を示し、長期宇宙ミッションにおける宇宙飛行士の健康管理にフレイル指標の活用が有用であることを示唆しています。ただし、これらの分子変化が地球帰還後も持続するかどうかは未解明であり、今後の研究でその臨床的意義や対策の検討が必要とされます。
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,本研究は、宇宙放射線による細胞損傷を抑制するために、宇宙飛行に関連して変動する特定のマイクロRNA（miR-16-5p、miR-125b-5p、let-7a-5p）を標的とした阻害剤（antagomirs）の効果を検証しました。3D微小血管細胞培養モデルにおいて、銀河宇宙線（GCR）を模擬した放射線照射後にこれらのmiRNA阻害剤を投与した結果、炎症反応やDNA二本鎖切断の減少、ミトコンドリア機能の回復が観察されました。さらに、NASAのツインスタディやJAXAの宇宙飛行士データと照合することで、これらのmiRNA阻害剤がヒトの遺伝子発現や関連経路にも影響を与えることが示され、宇宙放射線による健康リスク軽減の新たな対策としての可能性が示唆されました。これらの成果は、宇宙環境特有の放射線ストレスに対する分子レベルの防御戦略開発に重要な知見を提供しています。
